userSet	oddsRatio	matrixID	pValueLog	rnkPV	TF_name	dataSource	exp_type	medline	family	class
1	2.26845690965086	MA0845.1	66.5693549974898	1	FOXB1	jaspar	HT-SELEX	7739038	FOX	Fork head/winged helix factors
1	2.06001505669475	MA0601.1	65.4917342974263	1	Arid3b	jaspar	PBM	8543152	ARID-related	ARID
1	2.0500048371449	MA0789.1	64.4971815397424	1	POU3F4	jaspar	HT-SELEX	8876240, 2350782	POU domain factors	Homeo domain factors
1	1.88644449027475	MA0786.1	62.8272096858859	2	POU3F1	jaspar	HT-SELEX	1361172	POU domain factors	Homeo domain factors
1	1.87499577481216	MA0713.1	62.6872679514416	1	PHOX2A	jaspar	HT-SELEX	18585360	Paired-related HD factors	Homeo domain factors
1	1.92953465309157	MA0785.1	61.6418131240503	3	POU2F1	jaspar	HT-SELEX	1361172	POU domain factors	Homeo domain factors
1	1.78345125615455	MA0787.1	59.7696702366869	4	POU3F2	jaspar	HT-SELEX	9852081	POU domain factors	Homeo domain factors
1	1.77238899445965	MA1113.2	59.0917927738347	1	PBX2	jaspar	ChIP-seq	12054735	TALE-type homeo domain factors	Homeo domain factors
1	1.74642627556837	MA0788.1	57.1182931640305	5	POU3F3	jaspar	HT-SELEX	9852081	POU domain factors	Homeo domain factors
1	2.09531505004508	MA0700.2	56.4487159464847	1	LHX2	jaspar	ChIP-seq	23332764	HD-LIM	Homeo domain factors
1	2.27487012256667	MA0792.1	56.2406988978699	6	POU5F1B	jaspar	HT-SELEX	2350782	POU domain factors	Homeo domain factors
1	1.73601593749058	MA0703.2	55.830303264505	2	LMX1B	jaspar	HT-SELEX	18585359	HD-LIM	Homeo domain factors
1	1.79025274934393	MA1639.1	54.84794230343	1	MEIS1	jaspar	ChIP-seq	23602564	TALE-type homeo domain factors	Homeo domain factors
1	1.74349130205607	MA0602.1	54.5758603400207	2	Arid5a	jaspar	PBM	25215497	ARID-related	ARID
1	1.68883639884244	MA1640.1	52.1668746748423	2	MEIS2	jaspar	ChIP-seq	23602564	TALE-type homeo domain factors	Homeo domain factors
1	1.84014422588607	MA0148.4	51.6454450721135	1	FOXA1	jaspar	ChIP-seq	18798982	FOX	Fork head/winged helix factors
1	1.70616482790588	MA0025.2	50.8861240677325	1	NFIL3	jaspar	ChIP-seq	9122243	CEBP-related	Basic leucine zipper factors (bZIP)
1	2.12430107065563	MA0847.3	50.8390526538515	2	FOXD2	jaspar	CAP-SELEX	28520732	FOX	Fork head/winged helix factors
1	1.9968281940938	MA0497.1	50.4781153428933	1	MEF2C	jaspar	ChIP-seq	7559475	Regulators of differentiation	MADS box factors
1	1.75944189211799	MA0465.2	49.9481898074864	2	CDX2	jaspar	ChIP-seq	20696899	HOX	Homeo domain factors
1	2.46173556889961	MA0846.1	49.9327598260128	3	FOXC2	jaspar	HT-SELEX	23354101	FOX	Fork head/winged helix factors
1	1.91540016348432	MA0878.3	49.7073641838572	1	CDX1	jaspar	CAP-SELEX	18585359	HOX	Homeo domain factors
1	1.72688416928789	MA1963.1	49.2913061070927	1	SATB1	jaspar	No_annotation	18187506	HD-CUT	Homeo domain factors
1	2.12679407768289	MA0481.3	48.3174483163444	3	FOXP1	jaspar	ChIP-seq	21924763	FOX	Fork head/winged helix factors
1	1.8483248111749	MA0702.2	47.2263497475792	2	LMX1A	jaspar	HT-SELEX	18585359	HD-LIM	Homeo domain factors
1	1.87092896705281	MA1473.1	47.094915823542	1	CDX4	jaspar	HT-SELEX	18585359	HOX	Homeo domain factors
1	2.22967025846052	MA0913.2	46.2862152287571	2	HOXD9	jaspar	HT-SELEX	10523646	HOX	Homeo domain factors
1	2.15336552177318	MA1606.1	46.2388765592147	1	Foxf1	jaspar	ChIP-seq	25215497	FOX	Fork head/winged helix factors
1	1.86275675906974	MA1125.1	45.6699515048632	3	ZNF384	jaspar	ChIP-seq	11149472	More than 3 adjacent zinc fingers	C2H2 zinc finger factors
1	1.70322469883232	MA1463.1	45.498565709926	2	ARGFX	jaspar	HT-SELEX	18585359	Paired-related HD factors	Homeo domain factors
1	1.96026381103681	MA1115.1	45.4902423773093	4	POU5F1	jaspar	ChIP-seq	23747866	POU domain factors	Homeo domain factors
1	2.4806232365702	MA1471.1	45.1614257726468	3	BARX2	jaspar	HT-SELEX	10051657	NK	Homeo domain factors
1	1.69620735587619	MA1104.2	44.6398487385448	5	GATA6	jaspar	ChIP-seq	9915795	C4-GATA-related	Other C4 zinc finger-type factors
1	1.95700139703259	MA1683.1	44.6340015984751	3	FOXA3	jaspar	ChIP-seq	19919681	FOX	Fork head/winged helix factors
1	1.98915597196912	MA0047.3	44.025815817743	2	FOXA2	jaspar	ChIP-seq	28644006	FOX	Fork head/winged helix factors
1	2.23070224310984	MA0899.1	43.7624086306387	2	HOXA10	jaspar	HT-SELEX	18585359	HOX	Homeo domain factors
1	1.86353370590979	MA1707.1	43.6051880816539	4	DMRTA1	jaspar	HT-SELEX	17605809	DMRT factors	DM-type intertwined zinc finger factors
1	1.63941133252496	MA0040.1	43.4881519680371	3	Foxq1	jaspar	SELEX	8139574	FOX	Fork head/winged helix factors
1	2.29184160331758	MA0894.1	43.4519270273343	3	HESX1	jaspar	HT-SELEX	11748154	Paired-related HD factors	Homeo domain factors
1	1.63751015458593	MA0043.3	43.0408678996698	4	HLF	jaspar	ChIP-seq	8065331	CEBP-related	Basic leucine zipper factors (bZIP)
